order_no,discount_amount,adults,booking_fee,paid_from_wallet,order_time,source,isRelease,trip_type,leg_name,commission,departure_time,bf_discount,trip_id,isCancel,net_revenue,base_id,travel_date,ff_discount,facility_fee,amount_in_usd,voucher_consumption,paid_from_card,pick_stop
774985,11.25,1,0,0,09-25-2019 17:16:30,WEB,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,187440,09-25-2019,0,0,11.25,0,0,Times Square
774987,11.25,1,0,0,09-25-2019 17:17:16,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,190,09-25-2019,0,0,11.25,0,0,Times Square
774988,11.25,1,0,0,09-25-2019 17:17:29,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,110809,09-25-2019,0,0,11.25,0,0,Times Square
774989,11.25,1,0,0,09-25-2019 17:17:45,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,97,09-25-2019,0,0,11.25,0,0,Times Square
774990,0,1,0,0,09-25-2019 17:19:34,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,11.25,594,09-25-2019,0,0,11.25,0,11.25,Times Square
774999,11.25,1,0,0,09-25-2019 17:24:49,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,317915,09-25-2019,0,0,11.25,0,0,Times Square
775004,11.25,1,0,0,09-25-2019 17:25:38,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,56494,09-25-2019,0,0,11.25,0,0,Times Square
775018,11.25,1,0,0,09-25-2019 17:28:45,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,1289,09-25-2019,0,0,11.25,0,0,Times Square
775020,11.25,1,0,0,09-25-2019 17:29:46,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,137221,09-25-2019,0,0,11.25,0,0,Times Square
775025,11.25,1,0,0,09-25-2019 17:36:22,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,197,09-25-2019,0,0,11.25,0,0,Times Square
775026,11.25,1,0,0,09-25-2019 17:36:34,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,83659,09-25-2019,0,0,11.25,0,0,Times Square
775027,0,1,0,0,09-25-2019 17:36:37,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,11.25,150028,09-25-2019,0,0,11.25,0,11.25,Times Square
775189,11.25,1,0,0,09-25-2019 19:05:31,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,19819,09-26-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
775446,10.25,1,0,0,09-25-2019 21:02:52,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,67,09-26-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
775446,10.25,1,0,0,09-25-2019 21:02:52,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,67,09-26-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
775568,11.25,1,0,0,09-25-2019 22:04:57,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,477,09-26-2019,0,0,11.25,0,0,Stillwell Road
775586,0,1,0,0,09-25-2019 22:13:45,WEB,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,11.25,1406,09-26-2019,0,0,11.25,0,11.25,Kendall Park Roller Skating Rink
775609,11.25,1,0,0,09-25-2019 22:23:53,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,430,09-26-2019,0,0,11.25,0,0,Kendall Park Post Office
775638,11.25,1,0,0,09-25-2019 22:40:17,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,11809,09-26-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
775642,10.25,1,0,0,09-25-2019 22:41:55,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,165726,09-26-2019,0,0,10.25,0,0,Kendall Park Post Office
775642,10.25,1,0,0,09-25-2019 22:41:55,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,165726,09-26-2019,0,0,10.25,0,0,Kendall Park Post Office
775676,11.25,1,0,0,09-25-2019 22:54:35,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,3863,09-26-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
775677,11.25,1,0,0,09-25-2019 22:54:50,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,263922,09-26-2019,0,0,11.25,0,0,Green Hill Manor Club House
775704,5.125,1,0,0,09-25-2019 23:05:42,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,5.125,82,09-26-2019,0,0,10.25,0,5.125,Kendall Park Roller Skating Rink
775704,5.125,1,0,0,09-25-2019 23:05:42,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,5.125,82,09-26-2019,0,0,10.25,0,5.125,Kendall Park Roller Skating Rink
775711,10.25,1,0,0,09-25-2019 23:08:17,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,486,09-26-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
775711,10.25,1,0,0,09-25-2019 23:08:17,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,486,09-26-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
